first_name,second_name,Position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,team_id,team_name,team_rank
Cameron,Archer,3,0,0,3,24,0,0.8,0,18,0,3,1.6,0,0,0,1.1,45,FWD,2,Aston Villa,
Viljami,Sinisalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,GK,2,Aston Villa,
Lamare,Bogarde,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,DEF,2,Aston Villa,
Tim,Iroegbunam,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,2,Aston Villa,
Filip,Marschall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,2,Aston Villa,
Josh,Feeney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,2,Aston Villa,
Philippe,Coutinho Correia,2,2,2,27,262,4,62.9,120,100,3,83,28.3,1,0,0,17.7,73,MID,2,Aston Villa,
Kaine,Hayden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,2,Aston Villa,
Robin,Olsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,2,Aston Villa,
Benjamin,Chrisene,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,2,Aston Villa,
Pontus,Jansson,1,1,3,74,2241,40,42.6,463.4,260,7,397,77,5,0,4,6.3,45,DEF,26,Brentford,
Christian,Nørgaard,2,1,2,59,2126,39,258.5,429,326,1,310,101.8,5,0,6,0.6,50,MID,26,Brentford,
Ivan,Toney,3,6,2,77,1890,35,326.3,397.6,747,10,268,147,4,0,5,9.4,66,FWD,26,Brentford,
Tariqe,Fosu-Henry,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,MID,26,Brentford,
David,Raya Martin,0,0,0,46,990,11,0,246.8,0,4,219,24.5,4,0,0,3.2,43,GK,26,Brentford,
Sergi,Canós,2,2,3,67,1791,33,218.8,305,359,5,225,88.3,6,0,6,1.2,55,MID,26,Brentford,
Pelenda Joshua,Dasilva,2,0,0,2,57,1,1.3,5.4,4,0,7,1.1,0,0,0,0,53,MID,26,Brentford,
Rico,Henry,1,2,0,64,1653,26,156.5,268.6,152,3,250,57.9,5,0,2,0.9,45,DEF,26,Brentford,
Vitaly,Janelt,2,2,0,54,1407,24,236.3,299.4,236,5,211,77.2,6,0,2,0.1,50,MID,26,Brentford,
Saman,Ghoddos,2,1,2,25,417,4,94,115.6,115,0,102,32.6,0,0,2,0,53,MID,26,Brentford,
Mathias,Jensen,2,0,1,36,1023,22,407.5,190,104,2,172,70.2,1,0,0,0,49,MID,26,Brentford,
Charlie,Goode,1,0,0,10,448,6,82.7,54.8,24,0,64,16,1,0,3,1.4,39,DEF,26,Brentford,
Marcus,Forss,3,0,1,11,203,4,12.5,20.8,55,0,35,8.7,0,0,0,0.1,53,FWD,26,Brentford,
Mads,Roerslev Rasmussen,1,1,1,28,901,22,77,164.2,71,3,117,31.3,0,0,0,0.1,43,DEF,26,Brentford,
Mads,Bech Sørensen,1,0,0,6,379,7,41.9,56.6,22,0,55,12.1,0,0,1,0,43,DEF,26,Brentford,
Ethan,Pinnock,1,1,1,69,2044,35,138.5,504.6,327,5,398,97,5,0,0,3.4,45,DEF,26,Brentford,
Ellery,Balcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,26,Brentford,
Jan,Zamburek,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,44,MID,26,Brentford,
Patrik,Gunnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,39,GK,26,Brentford,
Halil,Dervişoğlu,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,FWD,26,Brentford,
Bryan,Mbeumo,2,3,3,71,1779,31,335.3,261.4,466,3,183,105.7,5,0,2,1.1,53,MID,26,Brentford,
Mads,Bidstrup,2,0,0,4,36,0,0.7,6.6,0,0,11,0.8,0,0,0,0.1,44,MID,26,Brentford,
Frank,Onyeka,2,0,2,33,1008,18,73.2,93,174,0,112,33.7,3,0,4,0.1,49,MID,26,Brentford,
Kristoffer,Ajer,1,0,0,32,1015,17,42.1,158,78,1,168,27.9,4,0,2,0.5,44,DEF,26,Brentford,
Dominic,Thompson,1,0,0,3,146,3,1.2,15.8,6,0,12,2.3,0,0,0,0,44,DEF,26,Brentford,
Shandon,Baptiste,2,1,0,31,814,13,96.3,120,125,2,104,33.9,2,1,0,0,49,MID,26,Brentford,
Yoane,Wissa,2,3,0,40,585,10,43.1,135,180,3,115,35.1,1,0,0,0.1,58,MID,26,Brentford,
Álvaro,Fernández,0,0,0,31,1080,24,0,353.2,0,2,218,35.2,1,0,0,0.7,45,GK,26,Brentford,
Finley,Stevens,1,0,0,1,14,0,10.3,8.6,2,0,4,2.1,0,0,0,0.3,39,DEF,26,Brentford,
Mathias,Jorgensen,1,1,0,12,426,10,44.6,96.4,55,0,57,19.6,0,0,2,0,45,DEF,26,Brentford,
Paris,Maghoma,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,26,Brentford,
Matthew,Cox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,GK,26,Brentford,
Maxwell,Haygarth,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,26,Brentford,
Nathan,Young-Coombes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,45,FWD,26,Brentford,
Myles,Peart-Harris,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,26,Brentford,
Jonas,Lössl,0,0,0,2,180,5,0,15.4,0,0,21,1.6,0,0,0,0,45,GK,26,Brentford,
Christian,Eriksen,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,55,MID,26,Brentford,
Adam,Lallana,2,0,1,39,1453,16,158.2,200.2,157,0,222,51.7,6,0,4,0.2,53,MID,4,Brighton,
Jason,Steele,0,0,0,2,90,2,0,28.8,0,0,17,2.9,0,0,0,2.1,40,GK,4,Brighton,
Pascal,Groß,2,0,2,40,1170,13,548.5,238.8,195,1,213,98.3,5,0,0,0.3,57,MID,4,Brighton,
Shane,Duffy,1,1,1,47,1164,12,32.6,313.6,201,3,248,54.8,4,0,5,9.6,41,DEF,4,Brighton,
Davy,Pröpper,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,4,Brighton,
Lewis,Dunk,1,0,0,52,1403,17,31.1,309.8,100,7,298,43.9,6,1,1,2.2,48,DEF,4,Brighton,
Solomon,March,2,0,1,32,892,12,274.7,156.4,171,0,125,60.2,3,0,1,0.1,53,MID,4,Brighton,
Adam,Webster,1,2,0,53,1166,13,49,342.6,106,6,226,49.8,4,0,4,0.7,44,DEF,4,Brighton,
Joël,Veltman,1,0,1,53,1627,20,209,313.8,61,4,317,58.6,4,0,4,1,42,DEF,4,Brighton,
Neal,Maupay,3,8,3,87,1651,19,266.8,355.4,527,11,284,114.1,6,0,4,10.5,66,FWD,4,Brighton,
Leandro,Trossard,2,4,1,76,1798,22,447.7,341.6,690,8,251,147.9,5,0,1,2.1,60,MID,4,Brighton,
Mathew,Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,GK,4,Brighton,
Alireza,Jahanbakhsh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,MID,4,Brighton,
Bernardo,Fernandes Da Silva Junior,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,4,Brighton,
Robert,Sánchez,0,0,0,83,2070,23,30,543,0,8,439,57.2,7,1,2,18.2,46,GK,4,Brighton,
Yves,Bissouma,2,0,1,33,1326,17,103.5,277.6,106,3,230,48.7,3,0,6,5.3,44,MID,4,Brighton,
Tariq,Lamptey,1,0,2,51,928,9,239.9,179.8,117,5,194,53.6,4,0,2,2.7,45,DEF,4,Brighton,
Aaron,Connolly,3,0,0,5,154,1,13.1,2.4,18,0,12,3.1,0,0,0,0.1,53,FWD,4,Brighton,
Steven,Alzate,2,0,0,10,278,4,34.2,58.2,21,0,54,11.4,0,0,0,0,48,MID,4,Brighton,
Alexis,Mac Allister,2,4,2,61,955,12,267.8,342,299,8,245,90.6,2,0,2,0.9,53,MID,4,Brighton,
Jakub,Moder,2,0,3,52,1503,18,247.1,205.8,338,0,195,79.5,5,0,1,0.8,45,MID,4,Brighton,
Danny,Welbeck,3,3,0,34,482,4,57.7,132,167,6,98,35.5,2,0,0,0.4,59,FWD,4,Brighton,
Enock,Mwepu,2,1,4,35,635,8,85.9,140.6,109,2,120,33.2,1,0,1,0.1,59,MID,4,Brighton,
Kjell,Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,GK,4,Brighton,
Florin,Andone,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,FWD,4,Brighton,
Andi,Zeqiri,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,FWD,4,Brighton,
Michal,Karbownik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,4,Brighton,
Taylor,Richards,2,0,0,2,23,0,12.8,4.6,8,0,5,2.5,0,0,0,0,45,MID,4,Brighton,
Moisés,Caicedo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,4,Brighton,
Haydon,Roberts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,39,DEF,4,Brighton,
Marc,Cucurella,1,0,1,79,1829,20,429.4,370.2,95,14,393,89.6,7,0,3,4.3,51,DEF,4,Brighton,
Jürgen,Locadia,3,0,0,1,22,0,1.1,0,3,0,0,0.1,0,0,0,1.2,44,FWD,4,Brighton,
Jeremy,Sarmiento,2,0,0,2,20,1,0.6,2.4,2,0,8,0.6,0,0,0,0,45,MID,4,Brighton,
Ed,Turns,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,4,Brighton,
Marc,Leonard,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,4,Brighton,
Evan,Ferguson,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,FWD,4,Brighton,
Thomas,McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,4,Brighton,
James,Tarkowski,1,1,2,57,1800,29,51.2,545.2,219,4,292,81.7,4,0,6,1.3,49,DEF,5,Burnley,
Phil,Bardsley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,39,DEF,5,Burnley,
Erik,Pieters,1,0,0,19,469,4,16.4,112,34,0,84,16.2,2,0,1,0.2,42,DEF,5,Burnley,
Jack,Cork,2,0,0,16,641,14,24.4,42.6,17,0,36,8.4,2,0,1,0.1,44,MID,5,Burnley,
Dale,Stephens,2,0,0,3,122,0,12.4,12.8,1,0,8,2.6,1,0,1,0,44,MID,5,Burnley,
Kevin,Long,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,DEF,5,Burnley,
Jay,Rodriguez,3,1,1,29,614,3,88.9,83.4,199,3,84,36.5,3,0,3,1.1,52,FWD,5,Burnley,
Ashley,Barnes,3,0,0,11,395,10,74.2,30.2,104,0,6,20.1,1,0,2,0.7,52,FWD,5,Burnley,
Ben,Mee,1,2,0,50,1530,24,47.9,370.6,160,0,244,57.9,4,0,3,0.7,48,DEF,5,Burnley,
Ashley,Westwood,2,0,4,50,1690,27,398.6,234.8,101,2,244,73.5,4,0,6,0.3,53,MID,5,Burnley,
Johann Berg,Gudmundsson,2,0,1,33,1097,19,137.5,134,193,0,100,46.5,3,0,2,0.1,54,MID,5,Burnley,
Matthew,Lowton,1,1,3,55,1514,27,235.7,353.2,81,5,292,67.1,3,0,2,1.7,44,DEF,5,Burnley,
Matej,Vydra,3,1,1,27,438,5,49.6,89.6,161,2,79,29.8,1,0,0,0.3,52,FWD,5,Burnley,
Nick,Pope,0,0,0,72,1710,23,10,464.8,0,7,358,47.7,5,0,0,2.6,54,GK,5,Burnley,
Charlie,Taylor,1,0,1,45,1440,25,206.1,330.8,32,7,255,56.9,3,0,1,0.3,44,DEF,5,Burnley,
Will,Norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,GK,5,Burnley,
Josh,Brownhill,2,0,0,31,1470,21,212.1,225.2,129,0,171,56.9,3,0,6,2.3,43,MID,5,Burnley,
Josh,Benson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,5,Burnley,
Bailey,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,GK,5,Burnley,
Dwight,McNeil,2,0,1,49,1802,28,407.6,352.8,185,1,257,94.8,5,0,1,0.2,57,MID,5,Burnley,
Nathan,Collins,1,0,0,15,450,5,32.6,107.6,44,0,93,18.5,2,0,1,0.1,43,DEF,5,Burnley,
Wayne,Hennessey,0,0,0,4,180,6,30,62.8,0,0,37,9.3,0,0,0,0.3,45,GK,5,Burnley,
Lewis,Richardson,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,44,FWD,5,Burnley,
Bobby,Thomas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,39,DEF,5,Burnley,
Owen,Dodgson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,39,DEF,5,Burnley,
Aaron,Lennon,2,1,0,23,528,7,34.5,76.8,60,0,60,17,2,0,1,0.1,49,MID,5,Burnley,
Maxwel,Cornet,2,6,0,57,855,12,125.8,260.6,257,5,150,64.3,3,0,2,0.8,59,MID,5,Burnley,
